"year","origin","genre","count"
"2018","Netflix","Drama","105"
"2001","Netflix","Comedy","1"
"2001","Netflix","Crime","1"
"2018","Netflix","Comedy","147"
"2018","Netflix","Romance","30"
"2003","Netflix","Comedy","1"
"2004","Netflix","Documentary","1"
"2004","Netflix","Crime","1"
"2004","Netflix","Drama","1"
"2004","Hulu","Crime","1"
"2004","Hulu","Drama","1"
"2004","Hulu","Mystery","1"
"2004","Hulu","Thriller","1"
"2008","Netflix","Animation","2"
"2008","Netflix","Action","2"
"2008","Netflix","Adventure","2"
"2008","Netflix","Drama","2"
"2008","Netflix","Fantasy","2"
"2008","Netflix","Sci-Fi","2"
"2005","Hulu","Comedy","1"
"2017","Amazon","Drama","13"
"2005","Disney","Family","1"
"2005","Disney","Music","1"
"2005","Disney","Reality-TV","1"
"2019","Amazon","Crime","8"
"2019","Amazon","Drama","25"
"2019","Amazon","Fantasy","3"
"2019","Amazon","Mystery","6"
"2019","Amazon","Thriller","10"
"2019","Netflix","Biography","22"
"2019","Netflix","Comedy","146"
"2019","Netflix","Drama","143"
"2019","Netflix","Music","20"
"2016","Netflix","Comedy","58"
"2016","Netflix","Family","16"
"2018","Netflix","Documentary","72"
"2018","Netflix","Crime","38"
"2021","Netflix","Action","74"
"2021","Netflix","Adventure","69"
"2021","Netflix","Crime","115"
"2021","Netflix","Drama","222"
"2021","Netflix","Horror","31"
"2021","Netflix","Sci-Fi","36"
"2021","Netflix","Thriller","92"
"2021","Netflix","War","5"
"2019","Netflix","Family","33"
"2019","Netflix","Romance","34"
"2020","Netflix","Animation","64"
"2020","Netflix","Action","50"
"2020","Netflix","Adventure","48"
"2020","Netflix","Fantasy","42"
"2020","Netflix","Drama","195"
"2020","Netflix","Horror","33"
"2020","Netflix","Sci-Fi","34"
"2022","Netflix","Animation","70"
"2022","Netflix","Action","84"
"2022","Netflix","Adventure","75"
"2022","Netflix","Sci-Fi","36"
"2022","Netflix","Drama","261"
"2022","Netflix","Fantasy","66"
"2022","Netflix","Horror","35"
"2022","Netflix","Mystery","79"
"2022","Netflix","Thriller","119"
"2019","Netflix","Thriller","52"
"2020","Netflix","Comedy","174"
"2019","Netflix","Adventure","35"
"2019","Netflix","Reality-TV","21"
"2020","Netflix","Romance","54"
"2022","Netflix","Comedy","267"
"2022","Netflix","Family","68"
"2019","Netflix","Animation","35"
"2019","Netflix","Short","23"
"2019","Netflix","Fantasy","29"
"2019","Netflix","Documentary","82"
"2018","Disney","Documentary","3"
"2018","Disney","Family","3"
"2020","Netflix","Thriller","86"
"2019","Netflix","Mystery","44"
"2020","Netflix","Documentary","107"
"2020","Netflix","Mystery","56"
"2019","Netflix","Action","38"
"2019","Netflix","Crime","63"
"2022","Netflix","Documentary","154"
"2021","Netflix","Comedy","179"
"2021","Netflix","Fantasy","54"
"2020","Netflix","Crime","80"
"2021","Netflix","Animation","62"
"2021","Netflix","Mystery","76"
"2021","Disney","Action","16"
"2021","Disney","Adventure","25"
"2021","Disney","Crime","4"
"2021","Disney","Drama","22"
"2021","Disney","Mystery","5"
"2021","Disney","Sci-Fi","15"
"2022","Disney","Comedy","33"
"2022","Disney","Family","32"
"2022","Disney","Musical","10"
"2022","Netflix","History","29"
"2022","Netflix","War","5"
"2020","Netflix","Musical","9"
"2020","Disney","Documentary","14"
"2020","Disney","Adventure","12"
"2020","Disney","History","2"
"2020","Disney","Animation","8"
"2019","Disney","Documentary","6"
"2020","Hulu","Comedy","5"
"2020","Hulu","Drama","9"
"2020","Hulu","Romance","3"
"2020","Disney","Short","6"
"2020","Disney","Comedy","15"
"2020","Disney","Family","20"
"2020","Disney","Fantasy","8"
"2019","Disney","Animation","1"
"2019","Disney","Short","1"
"2019","Disney","Comedy","10"
"2019","Disney","Family","7"
"2019","Disney","Fantasy","5"
"2021","Disney","Animation","16"
"2020","Netflix","Family","70"
"2020","Hulu","Music","2"
"2020","Hulu","Sci-Fi","3"
"2020","Disney","Game-Show","3"
"2020","Disney","Reality-TV","2"
"2022","Disney","Action","15"
"2022","Disney","Adventure","29"
"2022","Disney","Fantasy","18"
"2023","Netflix","Drama","219"
"2023","Netflix","Romance","86"
"2023","Netflix","Thriller","119"
"2023","Netflix","Animation","44"
"2023","Netflix","Action","76"
"2023","Netflix","Adventure","65"
"2023","Netflix","Comedy","182"
"2023","Netflix","Family","34"
"2023","Netflix","Fantasy","43"
"2023","Netflix","Sci-Fi","30"
"2019","Netflix","History","17"
"2024","Netflix","Biography","27"
"2024","Netflix","Drama","195"
"2024","Netflix","History","26"
"2020","Netflix","Music","25"
"2022","Disney","Drama","19"
"2022","Disney","Romance","6"
"2020","Netflix","Biography","23"
"2021","Netflix","Western","2"
"2021","Netflix","Biography","29"
"2021","Netflix","Romance","72"
"2021","Netflix","Documentary","105"
"2021","Netflix","Sport","20"
"2020","Disney","Action","2"
"2021","Netflix","Family","61"
"2017","Netflix","Biography","13"
"2017","Netflix","Crime","33"
"2017","Netflix","Drama","68"
"2017","Netflix","Thriller","30"
"2018","Amazon","Drama","16"
"2018","Amazon","Fantasy","2"
"2018","Amazon","Horror","1"
"2018","Amazon","Mystery","3"
"2018","Amazon","Thriller","4"
"2020","Netflix","War","6"
"2019","Netflix","Game-Show","4"
"2019","Netflix","Sport","11"
"2020","HBO","Comedy","13"
"2020","HBO","Romance","2"
"2019","Netflix","Sci-Fi","28"
"2020","Netflix","Reality-TV","36"
"2019","Hulu","Animation","2"
"2019","Hulu","Family","1"
"2020","HBO","Animation","4"
"2020","HBO","Adventure","5"
"2020","HBO","Family","4"
"2024","Netflix","Crime","101"
"2024","Netflix","Mystery","55"
"2019","Hulu","Comedy","9"
"2019","Hulu","Horror","1"
"2019","Hulu","Sci-Fi","1"
"2020","Netflix","Talk-Show","3"
"2024","Netflix","Animation","36"
"2024","Netflix","Adventure","46"
"2024","Netflix","Comedy","167"
"2024","Netflix","Family","26"
