"origin","genre","count"
"Netflix","Drama","1610"
"Netflix","Comedy","1592"
"Netflix","Crime","771"
"Netflix","Romance","501"
"Netflix","Documentary","970"
"Hulu","Crime","11"
"Hulu","Drama","48"
"Hulu","Mystery","11"
"Hulu","Thriller","18"
"Netflix","Animation","416"
"Netflix","Action","506"
"Netflix","Adventure","444"
"Netflix","Fantasy","358"
"Netflix","Sci-Fi","274"
"Hulu","Comedy","38"
"Amazon","Drama","92"
"Disney","Family","102"
"Disney","Music","28"
"Disney","Reality-TV","17"
"Amazon","Crime","23"
"Amazon","Fantasy","11"
"Amazon","Mystery","22"
"Amazon","Thriller","26"
"Netflix","Biography","211"
"Netflix","Music","173"
"Netflix","Family","388"
"Netflix","Horror","208"
"Netflix","Thriller","724"
"Netflix","War","42"
"Netflix","Mystery","479"
"Netflix","Reality-TV","281"
"Netflix","Short","159"
"Disney","Documentary","79"
"Disney","Action","51"
"Disney","Adventure","95"
"Disney","Crime","10"
"Disney","Drama","72"
"Disney","Mystery","20"
"Disney","Sci-Fi","50"
"Disney","Comedy","103"
"Disney","Musical","31"
"Netflix","History","192"
"Netflix","Musical","69"
"Disney","History","8"
"Disney","Animation","50"
"Hulu","Romance","9"
"Disney","Short","30"
"Disney","Fantasy","63"
"Hulu","Music","5"
"Hulu","Sci-Fi","14"
"Disney","Game-Show","5"
"Disney","Romance","10"
"Netflix","Western","27"
"Netflix","Sport","186"
"Amazon","Horror","5"
"Netflix","Game-Show","81"
"HBO","Comedy","19"
"HBO","Romance","5"
"Hulu","Animation","8"
"Hulu","Family","4"
"HBO","Animation","6"
"HBO","Adventure","10"
"HBO","Family","5"
"Hulu","Horror","6"
"Netflix","Talk-Show","35"
"HBO","Action","5"
"HBO","Drama","13"
"HBO","Sci-Fi","8"
"HBO","Fantasy","7"
"HBO","Mystery","5"
"HBO","Thriller","9"
"Disney","Biography","16"
"Disney","Sport","14"
"Amazon","Adventure","13"
"Amazon","Comedy","47"
"Amazon","Family","12"
"HBO","Reality-TV","6"
"HBO","Documentary","6"
"HBO","Crime","3"
"HBO","Short","4"
"HBO","Music","1"
"HBO","Talk-Show","2"
"HBO","Game-Show","5"
"HBO","Musical","1"
"Disney","Talk-Show","3"
"Hulu","Documentary","4"
"Hulu","Biography","6"
"Amazon","Action","16"
"Amazon","Sci-Fi","14"
"Amazon","Biography","9"
"Amazon","History","11"
"Hulu","Adventure","3"
"Hulu","Reality-TV","1"
"Disney","Thriller","10"
"Disney","Horror","6"
"Hulu","Action","11"
"Amazon","Documentary","8"
"Netflix","News","4"
"Disney","Western","1"
"Disney","War","2"
"Amazon","Music","6"
"Hulu","Short","2"
"Hulu","Talk-Show","3"
"Hulu","History","4"
"Amazon","Romance","18"
"Amazon","War","4"
"Netflix",\N,"4"
"Hulu","Western","1"
"Hulu","Sport","1"
"Hulu","Fantasy","8"
"Amazon","Sport","2"
"Amazon","Musical","2"
"Hulu","War","3"
"Amazon","Animation","3"
"Hulu","News","1"
