"origin","type","count"
"Netflix","Movie","1434"
"Netflix","TV Series","1515"
"Hulu","TV Series","65"
"Amazon","Movie","62"
"Disney","TV Series","94"
"Amazon","TV Series","50"
"Netflix","TV Mini Series","523"
"Netflix","TV Special","414"
"Disney","Movie","69"
"Netflix","TV Movie","60"
"Netflix","Short","99"
"Disney","TV Mini Series","43"
"Disney","Short","8"
"HBO","TV Series","27"
"Amazon","TV Mini Series","7"
"HBO","Movie","5"
"HBO","TV Mini Series","3"
"Netflix","TV Short","7"
"HBO","TV Special","1"
"Hulu","TV Mini Series","23"
"Disney","TV Special","13"
"Disney","TV Movie","4"
"Netflix","Video","3"
"Amazon","TV Movie","1"
