imdb_id,title,type,origin,rating,runtime_mins,year,genres,votes
tt0069049,"The Other Side of the Wind",Movie,Netflix,6.7,122,2018,Drama,8366
tt0290988,"Trailer Park Boys","TV Series",Netflix,8.5,30,2001,"Comedy, Crime",55677
tt0365545,"Nappily Ever After",Movie,Netflix,6.4,98,2018,"Comedy, Drama, Romance",10198
tt0367279,"Arrested Development","TV Series",Netflix,8.6,22,2003,Comedy,337465
tt0388644,"The Staircase","TV Series",Netflix,7.8,NULL,2004,"Documentary, Crime, Drama",28685
tt0412253,"Veronica Mars","TV Series",Hulu,8.3,45,2004,"Crime, Drama, Mystery, Thriller",80963
tt0458290,"Star Wars: The Clone Wars","TV Series",Netflix,8.5,23,2008,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",136622
tt0459159,"The Thick of It","TV Series",Hulu,8.7,30,2005,Comedy,28422
tt0460890,"The Only Living Boy in New York",Movie,Amazon,6.4,89,2017,Drama,19216
tt0463398,"Dancing with the Stars","TV Series",Disney,4.9,60,2005,"Family, Music, Reality-TV",10901
tt0489974,"Carnival Row","TV Series",Amazon,7.7,56,2019,"Crime, Drama, Fantasy, Mystery, Thriller",86782
tt0800325,"The Dirt",Movie,Netflix,7,107,2019,"Biography, Comedy, Drama, Music",59111
tt0837156,"Pee-wee's Big Holiday",Movie,Netflix,6.1,90,2016,"Comedy, Family",9640
tt0914376,"The Innocent Man","TV Mini Series",Netflix,7.3,45,2018,"Documentary, Crime",6898
tt0993840,"Army of the Dead",Movie,Netflix,5.8,148,2021,"Action, Adventure, Crime, Drama, Horror, Sci-Fi, Thriller, War",197285
tt10006006,"A Christmas Prince: The Royal Baby",Movie,Netflix,5.4,84,2019,"Family, Romance",8503
tt10009170,"Blood of Zeus","TV Series",Netflix,7.5,30,2020,"Animation, Action, Adventure, Fantasy",27472
tt10009796,"Kevin Hart: Irresponsible","TV Special",Netflix,6.6,60,2019,Comedy,5281
tt10011298,"Dragon's Dogma","TV Series",Netflix,6.2,NULL,2020,"Animation, Action, Adventure, Drama, Fantasy, Horror, Sci-Fi",4487
tt10011306,Spriggan,"TV Mini Series",Netflix,6.8,45,2022,"Animation, Action, Adventure, Sci-Fi",1843
tt10011314,"Vampire in the Garden","TV Mini Series",Netflix,6.7,25,2022,"Animation, Action, Adventure, Drama, Fantasy, Horror, Mystery, Thriller",2070
tt10018436,"Liss Pereira: Reteniendo Liquidos","TV Special",Netflix,6.3,59,2019,Comedy,119
tt10027954,"Ricardo Quevedo: Los Amargados Somos Mas","TV Special",Netflix,7.2,58,2019,Comedy,125
tt10027990,Persona,"TV Mini Series",Netflix,6.5,20,2019,"Drama, Thriller",1668
tt10037034,Gentefied,"TV Series",Netflix,7.4,NULL,2020,Comedy,3193
tt10044952,"You vs. Wild","TV Series",Netflix,6.6,20,2019,"Adventure, Reality-TV",2986
tt10048342,"The Queen's Gambit","TV Mini Series",Netflix,8.5,60,2020,Drama,631696
tt10049610,Followers,"TV Series",Netflix,6.3,40,2020,"Drama, Romance",714
tt10050740,"Battle Kitty","TV Series",Netflix,6.1,30,2022,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",384
tt10050752,"Mighty Little Bheem","TV Series",Netflix,6.5,6,2019,"Animation, Short, Adventure, Comedy, Family, Fantasy",341
tt10050766,"BrenÃƒÂ© Brown: The Call to Courage",Movie,Netflix,7.7,76,2019,"Documentary, Drama",1899
tt10050772,"I Think You Should Leave with Tim Robinson","TV Series",Netflix,8,16,2019,Comedy,24696
tt10050778,"Street Food: Asia","TV Mini Series",Netflix,7.8,30,2019,Documentary,3378
tt10050780,"Anthony Jeselnik: Fire in the Maternity Ward","TV Special",Netflix,7.2,64,2019,Comedy,4602
tt10050782,"Grass is Greener",Movie,Netflix,7.1,97,2019,Documentary,1601
tt10055028,"Dolphin Reef",Movie,Disney,7.4,77,2018,"Documentary, Family",1320
tt10060094,"The Knight Before Christmas",Movie,Netflix,5.6,92,2019,"Adventure, Comedy, Drama, Fantasy, Romance",21678
tt10062046,"Country Queen","TV Series",Netflix,5.1,60,2022,Drama,297
tt10062292,"Never Have I Ever","TV Series",Netflix,7.8,30,2020,"Comedy, Drama",90293
tt10062614,Guilty,Movie,Netflix,5.4,119,2020,"Drama, Thriller",4911
tt10069398,"Home for Christmas","TV Series",Netflix,7.7,29,2019,"Comedy, Drama, Romance",17804
tt10075318,"The Gift","TV Series",Netflix,6.9,40,2019,"Drama, Fantasy, Mystery, Romance",25327
tt10085386,"Tiffany Haddish Presents: They Ready","TV Series",Netflix,6.7,NULL,2019,Comedy,622
tt10087952,"Francesco de Carlo: Cose di Questo Mondo","TV Special",Netflix,6.4,61,2019,Comedy,131
tt10087988,"Super Monsters Furever Friends","TV Movie",Netflix,5.5,58,2019,Animation,93
tt10091530,"Holiday Rush",Movie,Netflix,5,92,2019,"Comedy, Drama, Family, Romance",3353
tt10092752,"Earth and Blood",Movie,Netflix,5.2,80,2020,"Action, Drama, Thriller",3030
tt10092764,Move,"TV Series",Netflix,7.3,NULL,2020,Documentary,157
