imdb_id,status
tt8923854,Cancelled
tt8369840,Concluded
tt7826108,Concluded
tt9077530,Cancelled
tt5180504,Cancelled
tt3007572,Concluded
tt10293938,Cancelled
tt9077540,Cancelled
tt9839146,Cancelled
tt9059350,Cancelled
tt9359220,Concluded
tt7423538,Cancelled
tt8740790,Concluded
tt8179402,Cancelled
tt9012876,Cancelled
tt10813940,Cancelled
tt13879466,Cancelled
tt2403776,Cancelled
tt12809988,Cancelled
tt12564616,Cancelled
tt10839422,Concluded
tt3609352,Cancelled
tt4635276,Concluded
tt7767422,Concluded
tt7520794,Concluded
tt8398600,Cancelled
tt10050772,Concluded
tt8064302,Concluded
tt9153270,Concluded
tt10037034,Concluded
tt10062292,Concluded
tt9612516,Concluded
tt8690518,Cancelled
tt8962124,Concluded
tt13492362,Cancelled
tt10945036,Cancelled
tt15387774,Cancelled
tt14369056,Cancelled
tt14167338,Cancelled
tt6524350,Concluded
tt5363918,Concluded
tt8235236,Concluded
tt9561862,Cancelled
tt10826054,Cancelled
tt10140028,Concluded
tt15125616,Concluded
tt15478708,Cancelled
tt10231312,Cancelled
tt7944664,Concluded
tt8019444,Concluded
tt8699270,Concluded
tt9466298,Concluded
tt10009170,Cancelled
tt13352232,Concluded
tt9288848,Concluded
tt14069590,Concluded
tt13357124,Concluded
tt13676344,Concluded
tt13357140,Concluded
tt14272628,Cancelled
tt5235950,Cancelled
tt8688814,Cancelled
tt6385540,Cancelled
tt8115672,Concluded
tt10687170,Concluded
tt4651448,Concluded
tt8115702,Concluded
tt10687184,Concluded
tt9165434,Concluded
tt10436228,Concluded
tt11860336,Concluded
tt9288860,Concluded
tt10687202,Concluded
tt9248538,Concluded
tt13979288,Cancelled
tt10380896,Cancelled
tt14770480,Cancelled
tt13351440,Cancelled
tt15061770,Cancelled
tt11194006,Cancelled
tt13573450,Cancelled
tt12211696,Cancelled
tt15211330,Concluded
tt11465278,Concluded
tt13241650,Concluded
tt2386826,Concluded
tt13321232,Concluded
tt15717742,Concluded
tt14906826,Concluded
tt16290860,Cancelled
tt10834220,Concluded
tt13231962,Concluded
tt8403570,Concluded
tt10919486,Concluded
tt2531336,Cancelled
tt13278100,Concluded
tt15340790,Cancelled
tt9184994,Cancelled
tt9849210,Cancelled
tt9184986,Cancelled
tt9184982,Cancelled
tt12104930,Concluded
tt9398466,Cancelled
tt11150912,Cancelled
tt10655506,Cancelled
tt12719250,Concluded
tt10238792,Cancelled
tt14160660,Concluded
tt14163838,Concluded
tt13282662,Cancelled
tt14167344,Concluded
tt11269886,Concluded
tt13524842,Cancelled
tt15349110,Cancelled
tt14759406,Concluded
tt10477528,Cancelled
tt10795658,Cancelled
tt14611486,Cancelled
tt9145880,Cancelled
tt13186480,Cancelled
tt13024974,Cancelled
tt10919420,Cancelled
tt12940504,Cancelled
tt12235718,Cancelled
tt11570202,Concluded
tt12079212,Concluded
tt15381716,Concluded
tt15808044,Concluded
tt9251798,Cancelled
tt13053222,Concluded
tt14315542,Concluded
tt13495314,Concluded
tt8165086,Concluded
tt8905964,Concluded
tt12987918,Concluded
tt8878862,Concluded
tt13064634,Concluded
tt7134908,Concluded
tt9731288,Concluded
tt12189308,Concluded
tt11937662,Concluded
tt12540080,Cancelled
tt11937732,Concluded
tt8690776,Concluded
tt11937816,Concluded
tt14821886,Concluded
tt15101964,Concluded
tt11698590,Concluded
tt15377930,Concluded
tt10888876,Concluded
tt10540276,Cancelled
tt14664414,Cancelled
tt11617848,Concluded
tt11961378,Cancelled
tt13317582,Cancelled
tt13878800,Concluded
tt11570224,Concluded
tt11102190,Concluded
tt13357946,Concluded
tt14202282,Concluded
tt15517928,Cancelled
tt7752034,Concluded
tt8005374,Cancelled
tt8289930,Cancelled
tt10810430,Cancelled
tt10681222,Concluded
tt11426660,Cancelled
tt11823076,Concluded
tt12585152,Concluded
tt10687266,Concluded
tt13789092,Concluded
tt13656220,Concluded
tt13087512,Concluded
tt14057360,Concluded
tt14318406,Concluded
tt14540468,Concluded
tt14677850,Concluded
tt14818454,Cancelled
tt14865290,Concluded
tt14968268,Cancelled
tt15233856,Cancelled
tt14178956,Cancelled
tt15402912,Cancelled
tt15723914,Cancelled
tt15674216,Cancelled
tt15677070,Concluded
tt7259746,Cancelled
tt6987788,Concluded
tt8893550,Concluded
tt9817298,Concluded
tt9278032,Concluded
tt10487072,Cancelled
tt9581768,Cancelled
tt11704040,Cancelled
tt12004280,Cancelled
